method,t,correlation,mean_ami,mean_chs,std_ami,std_chs
Random Convex MDT,1,0.4043317471116297,0.7482668497873938,5.96255951995937,0.013092269264070595,0.08062575563484672
Random MDT,1,0.007973504771342507,0.7220327304801111,5.783637538367812,0.008911645715797842,0.08079746146377942
Random Convex MDT,2,0.31000769145523277,0.7527118964894527,5.9887606746470885,0.012714882750779826,0.04721236625770792
Random MDT,2,0.6533961475251626,0.7385301543067946,5.888077478169663,0.015503369282171572,0.12750759276365486
Random Convex MDT,3,0.20701542938383424,0.7550795893073802,5.993619957143469,0.012588720210769894,0.06169642007950814
Random MDT,3,0.691473652918017,0.7442772337819095,5.914010593468539,0.016590946301050655,0.10719594360537642
Random Convex MDT,4,0.17641765394270065,0.758146006912452,5.987261433127869,0.010809820283926274,0.053749620742434175
Random MDT,4,0.5053784612044834,0.7498509896335526,5.923949507995395,0.01562634935663106,0.09085624829046593
Random Convex MDT,5,0.08122546174795664,0.7614462806641186,5.979725953149973,0.013692002389864616,0.0547322064460303
Random MDT,5,0.34734669450650724,0.7493481182251667,5.922843417242529,0.013145062709177636,0.07718932229546414
Random Convex MDT,6,0.08863408256390932,0.7614507841119482,5.986466231910595,0.012114707753847138,0.05995214541739614
Random MDT,6,0.31228020134036305,0.7541274487928621,5.927986985291198,0.01277231317446126,0.06774248063405172
Random Convex MDT,7,-0.09295434712252927,0.7621305551697608,5.992707727158059,0.012209510694864938,0.051988053767660934
Random MDT,7,0.2984438871021952,0.7543138285815502,5.935663049178084,0.013009603320345774,0.06422853134544047
Random Convex MDT,8,0.016935702473868136,0.76316342125432,5.97423893994088,0.013363975023402513,0.062399137728220345
Random MDT,8,0.44681915592623134,0.7533240480322799,5.938418177872981,0.012085500068083819,0.07078983629197137
Random Convex MDT,9,0.14227229371828828,0.7656653242841837,5.974190632588285,0.012088427704561599,0.057154870048077754
Random MDT,9,0.23716986777891397,0.756585821270787,5.938617712278708,0.011722522362203518,0.06367250182220331
Random Convex MDT,10,0.1414052752017356,0.7675569900606309,5.973087187711506,0.012541087351054423,0.05384025678213526
Random MDT,10,0.15948914141411225,0.7554254931812572,5.933816823219722,0.01034902458849372,0.06602351533420642
Random Convex MDT,11,0.014296790337584148,0.7668387683760756,5.9694099899334665,0.011687174137571624,0.06236089855805508
Random MDT,11,0.142337057914224,0.7562930522483723,5.9146857596424365,0.011666469180526618,0.08300541766781279
Random Convex MDT,12,0.14981202008409475,0.7640016927590264,5.956514908858036,0.010690117783458318,0.06368392867140256
Random MDT,12,0.20008456721656967,0.7570453558073905,5.912069730059014,0.011982219966034068,0.07561075190901491
Random Convex MDT,13,0.13640520910064638,0.7644591320144454,5.948235564803546,0.011231106291190156,0.0608457491478391
Random MDT,13,0.2271943333133605,0.7562531848970134,5.908455491837819,0.012002191242858526,0.07511743677815375
Random Convex MDT,14,0.2820785587655086,0.7654702439747606,5.941028706778281,0.011925778412051105,0.06215189332415546
Random MDT,14,0.21342308607504462,0.7567431950659202,5.896375305911638,0.011038014003131872,0.07380662367972272
Random Convex MDT,15,0.3695803145380248,0.7666053548609375,5.936701541492987,0.011797454524905129,0.07006067031930954
Random MDT,15,0.16091583221962483,0.7554467164900186,5.883812984143202,0.010857444842687707,0.08998452032549503
Random Convex MDT,16,0.2522225261253039,0.7632774201980215,5.919555382347875,0.011055230467404135,0.060368125511869916
Random MDT,16,0.15830003594064448,0.7568085214165278,5.886356384560349,0.01105684612914863,0.06518265401628486
Random Convex MDT,17,0.36959077595814804,0.7603613489835688,5.902491006290815,0.01181658402599083,0.06590144799891094
Random MDT,17,0.3637790307080386,0.7569675006596919,5.881107149322321,0.01228694617651145,0.08010097264938591
Random Convex MDT,18,0.4319755325314172,0.7609968702194265,5.8965325470672925,0.013112199443448878,0.07693237350887897
Random MDT,18,0.2737804093758446,0.755922056879125,5.872791448532393,0.011589281832952034,0.0748064732795118
Random Convex MDT,19,0.22924604395948947,0.7613765849588477,5.879881554927758,0.010944582611422013,0.09066376586948607
Random MDT,19,0.3501984692923381,0.7545179011740578,5.846417359276968,0.013813676518659397,0.0887434447903037
Random Convex MDT,20,0.463156702525245,0.7605492174321811,5.8724624662970495,0.012572522212620845,0.08369687197480503
Random MDT,20,0.32294752242908964,0.7535574361897359,5.832150581109704,0.012078503676829506,0.08698965429823872
Random Convex MDT,21,0.38135319946425295,0.7596601750610629,5.872346934754259,0.010924117897856783,0.06769955802551528
Random MDT,21,0.30921373872879176,0.7546123333793431,5.833972863311907,0.013875005805553692,0.08634002638910834
Random Convex MDT,22,0.09118583981136824,0.7556283195081464,5.818019684274791,0.011810517948589883,0.09037615720987908
Random MDT,22,0.4672927855613188,0.7478114852286073,5.785522582567543,0.015516220265198347,0.10701288251600473
Random Convex MDT,23,0.29010955629273283,0.7553314728617155,5.819139039831177,0.013899073893701541,0.08902124655319549
Random MDT,23,0.30754465987134005,0.7483635847257503,5.782716021359935,0.012512045056118649,0.10219945880427593
Random Convex MDT,24,0.42559077860463923,0.7524482482328407,5.803727429842135,0.013813099884547998,0.09721420464713111
Random MDT,24,0.31425135947841,0.7467090805567309,5.760456696559374,0.013821415440925633,0.10061080110466951
Random Convex MDT,25,0.47404544360185297,0.7525771282317031,5.790447852309898,0.01251421981253505,0.08861034645821719
Random MDT,25,0.2865042357435131,0.7492952240225637,5.7505460019963515,0.013140580729335865,0.10239753562058569
Random Convex MDT,30,0.30727126765193996,0.7413432433097009,5.690356261065701,0.012945030885101036,0.09692720457771313
Random MDT,30,0.4513936285848825,0.7416629245032438,5.65791587072455,0.013793904820645414,0.11927024577660217
Random Convex MDT,35,0.4811597731958603,0.7347167891169221,5.594182680014875,0.014961141552185326,0.1009961947928674
Random MDT,35,0.40141965306772065,0.7300289630325253,5.561808022272787,0.013509102725409361,0.11267133625179347
Random Convex MDT,40,0.4093642647574579,0.7263923923087765,5.521119000514745,0.01297147189085858,0.09498056868798303
Random MDT,40,0.5276759701475543,0.7230117011323078,5.503113930241747,0.012232441514231375,0.11705711539544948
Random Convex MDT,45,0.441929466521154,0.7248687529635205,5.495099313882066,0.012367447795883977,0.09387305524551327
Random MDT,45,0.4791047441585883,0.7182129073039971,5.443622435874762,0.012514699719334058,0.11408813980068555
Random Convex MDT,50,0.4332083958575445,0.7166776931008578,5.4269161915444775,0.010691535631761123,0.10750241271765998
Random MDT,50,0.5935905385433362,0.7126310999691877,5.376471258146041,0.013242676371146176,0.13326261779192924
