,dataset,diffusion_time
olivetti,9,9
caltech101-7,14,14
leaves,8,8
isolet_lindenbaum,8,8
isolet_lindenbaum6,7,7
multiple_feat,11,11
mnist_lindenbaum_noise_0.05,10,10
mnist_kuchroo_noise_0.05,10,10
mnist_lindenbaum_noise_0.10,10,10
mnist_kuchroo_noise_0.10,10,10
mnist_kuchroo_noise_0.15,10,10
mnist_lindenbaum_noise_0.15,10,10
mnist_lindenbaum_noise_0.20,10,10
mnist_kuchroo_noise_0.20,10,10
mnist_lindenbaum_noise_0.25,10,10
mnist_kuchroo_noise_0.25,10,10
mnist_lindenbaum_noise_0.30,10,10
mnist_lindenbaum_noise_0.35,10,10
mnist_kuchroo_noise_0.30,10,10
mnist_kuchroo_noise_0.35,10,10
mnist_lindenbaum_noise_0.40,10,10
mnist_kuchroo_noise_0.40,10,10
mnist_lindenbaum_noise_0.45,10,10
mnist_lindenbaum_noise_0.50,10,10
mnist_kuchroo_noise_0.45,10,10
mnist_kuchroo_noise_0.50,10,10
mnist_lindenbaum_noise_0.55,10,10
mnist_kuchroo_noise_0.55,10,10
mnist_lindenbaum_noise_0.60,10,10
mnist_kuchroo_noise_0.60,10,10
mnist_lindenbaum_noise_0.65,10,10
mnist_kuchroo_noise_0.65,10,10
mnist_lindenbaum_noise_0.70,11,11
mnist_kuchroo_noise_0.70,10,10
mnist_lindenbaum_noise_0.75,11,11
mnist_kuchroo_noise_0.75,10,10
mnist_kuchroo_noise_0.80,10,10
mnist_lindenbaum_noise_0.80,11,11
mnist_lindenbaum_noise_0.85,11,11
mnist_kuchroo_noise_0.85,10,10
mnist_lindenbaum_noise_0.90,11,11
mnist_kuchroo_noise_0.90,11,11
mnist_lindenbaum_noise_0.95,11,11
mnist_kuchroo_noise_0.95,11,11
helix_b,9,9
helix_a,7,7
deformed_plane,8,8
mnist_lindenbaum,10,10
mnist_kuchroo,10,10
msrc,9,9
yale,8,8
outdoorscene,12,12
